Day,Time Slots,Start,Stop,tstart1,tstop1,wait1,tstart2,tstop2,wait2,tstart3,tstop3,Ttime,Wtime
2,1,16:00,18:00,16:20,16:25,0:06,16:31,17:05,0:05,17:10,17:15,0:55,0:11
2,2,18:00,20:00,19:22,19:27,0:06,19:33,20:09,0:03,20:12,20:17,0:55,0:09
2,3,20:00,22:00,21:22,21:28,0:07,21:35,22:10,0:05,22:15,22:20,0:58,0:12
2,4,22:00,0:00,23:04,23:09,0:06,23:15,23:50,0:04,23:54,23:59,0:55,0:10
3,1,16:00,18:00,16:00,16:06,0:04,16:10,16:45,0:03,16:48,16:53,0:53,0:07
3,2,18:00,20:00,18:02,18:07,0:04,18:11,18:46,0:05,18:51,18:55,0:53,0:09
3,3,20:00,22:00,21:09,21:14,0:03,21:17,21:53,0:03,21:56,22:02,0:53,0:06
3,4,22:00,0:00,22:08,22:13,0:03,22:16,22:50,0:05,22:55,23:00,0:52,0:08
4,1,16:00,18:00,17:10,17:15,0:03,17:18,17:53,0:04,17:57,18:02,0:52,0:07
4,2,18:00,20:00,18:01,18:06,0:03,18:09,18:43,0:03,18:46,18:52,0:51,0:06
4,3,20:00,22:00,20:30,20:35,0:02,20:37,21:12,0:03,21:15,21:20,0:50,0:05
4,4,22:00,0:00,22:15,22:20,0:03,22:23,22:58,0:05,23:03,23:08,0:53,0:08
5,1,16:00,18:00,16:18,16:25,0:05,16:30,17:02,0:03,17:05,17:11,0:53,0:08
5,2,18:00,20:00,19:20,19:27,0:05,19:32,20:10,0:03,20:13,20:18,0:58,0:08
5,3,20:00,22:00,21:20,21:25,0:06,21:31,22:06,0:04,22:10,22:15,0:55,0:10
5,4,22:00,0:00,22:00,22:05,0:03,22:08,22:42,0:04,22:46,22:52,0:52,0:07
6,1,16:00,18:00,16:05,16:10,0:05,16:15,16:50,0:05,16:55,17:01,0:56,0:10
6,2,18:00,20:00,18:15,18:20,0:03,18:23,18:57,0:05,19:02,19:07,0:52,0:08
6,3,20:00,22:00,20:45,20:50,0:03,20:53,21:27,0:05,21:32,21:36,0:51,0:08
6,4,22:00,0:00,23:04,23:09,0:06,23:15,23:50,0:04,23:54,23:59,0:55,0:10
7,1,16:00,18:00,16:32,16:37,0:06,16:43,17:17,0:04,17:21,17:26,0:54,0:10
7,2,18:00,20:00,19:25,19:30,0:03,19:33,20:08,0:04,20:12,20:17,0:52,0:07
7,3,20:00,22:00,21:17,21:22,0:06,21:28,22:05,0:05,22:10,22:15,0:58,0:11
7,4,22:00,0:00,23:00,23:06,0:06,23:12,23:47,0:04,23:51,23:57,0:57,0:10
1,1,16:00,18:00,16:42,16:48,0:05,16:53,17:28,0:05,17:33,17:38,0:56,0:10
1,2,18:00,20:00,19:05,19:10,0:06,19:16,19:50,0:04,19:54,20:00,0:55,0:10
1,3,20:00,22:00,20:02,20:08,0:04,20:12,20:47,0:04,20:51,20:56,0:54,0:08
1,4,22:00,0:00,22:19,22:24,0:06,22:30,23:06,0:03,23:09,23:14,0:55,0:09
2,1,16:00,18:00,17:15,17:20,0:03,17:23,17:57,0:04,18:01,18:06,0:51,0:07
2,2,18:00,20:00,18:09,18:14,0:06,18:20,18:55,0:05,19:00,19:05,0:56,0:11
2,3,20:00,22:00,20:30,20:35,0:03,20:38,21:13,0:03,21:16,21:21,0:51,0:06
2,4,22:00,0:00,22:54,22:59,0:06,23:05,23:38,0:04,23:42,23:48,0:54,0:10
3,1,16:00,18:00,16:00,16:05,0:04,16:09,16:45,0:05,16:50,16:56,0:56,0:09
3,2,18:00,20:00,19:15,19:21,0:06,19:27,20:00,0:04,20:04,20:10,0:55,0:10
3,3,20:00,22:00,20:00,20:05,0:05,20:10,20:45,0:03,20:48,20:53,0:53,0:08
3,4,22:00,0:00,23:02,23:07,0:08,23:15,23:50,0:04,23:54,23:59,0:57,0:12
4,1,16:00,18:00,16:26,16:31,0:03,16:34,17:09,0:05,17:14,17:20,0:54,0:08
4,2,18:00,20:00,19:16,19:20,0:07,19:27,20:00,0:04,20:04,20:10,0:54,0:11
4,3,20:00,22:00,20:28,20:32,0:04,20:36,21:10,0:04,21:14,21:20,0:52,0:08
4,4,22:00,0:00,22:20,22:25,0:04,22:29,23:05,0:05,23:10,23:15,0:55,0:09
5,1,16:00,18:00,17:10,17:15,0:03,17:18,17:53,0:04,17:57,18:02,0:52,0:07
5,2,18:00,20:00,18:01,18:06,0:03,18:09,18:43,0:03,18:46,18:52,0:51,0:06
5,3,20:00,22:00,20:30,20:35,0:02,20:37,21:12,0:03,21:15,21:20,0:50,0:05
5,4,22:00,0:00,22:15,22:20,0:03,22:23,22:58,0:05,23:03,23:08,0:53,0:08
6,1,16:00,18:00,16:18,16:25,0:05,16:30,17:02,0:03,17:05,17:11,0:53,0:08
6,2,18:00,20:00,19:20,19:27,0:05,19:32,20:10,0:03,20:13,20:18,0:58,0:08
6,3,20:00,22:00,21:20,21:25,0:06,21:31,22:06,0:04,22:10,22:15,0:55,0:10
6,4,22:00,0:00,22:00,22:05,0:03,22:08,22:42,0:04,22:46,22:52,0:52,0:07
7,1,16:00,18:00,16:05,16:10,0:05,16:15,16:50,0:05,16:55,17:01,0:56,0:10
7,2,18:00,20:00,18:15,18:20,0:03,18:23,18:57,0:05,19:02,19:07,0:52,0:08
7,3,20:00,22:00,20:45,20:50,0:03,20:53,21:27,0:05,21:32,21:36,0:51,0:08
7,4,22:00,0:00,23:04,23:09,0:06,23:15,23:50,0:04,23:54,23:59,0:55,0:10
1,1,16:00,18:00,16:32,16:37,0:05,16:42,17:20,0:05,17:25,17:30,0:58,0:10
1,2,18:00,20:00,19:25,19:30,0:07,19:37,20:12,0:06,20:18,20:23,0:58,0:13
1,3,20:00,22:00,21:17,21:22,0:06,21:28,22:05,0:05,22:10,22:15,0:58,0:11
1,4,22:00,0:00,23:00,23:06,0:06,23:12,23:47,0:04,23:51,23:57,0:57,0:10
