Day,Time Slots,Start,Stop,tstart1,tstop1,wait1,tstart2,tstop2,tstart3,tstop3,Ttime,Wtime
2,1,16:00,18:00,16:30,16:42,0:05,16:47,17:20,17:20,17:36,1:06,0:05
2,2,18:00,20:00,18:20,18:32,0:04,18:36,19:10,19:10,19:27,1:07,0:04
2,3,20:00,22:00,20:02,20:15,0:04,20:19,20:53,20:53,21:08,1:06,0:04
2,4,22:00,0:00,22:07,22:20,0:05,22:25,23:00,23:00,23:13,1:06,0:05
3,1,16:00,18:00,16:00,16:15,0:05,16:20,16:54,16:54,17:08,1:08,0:05
3,2,18:00,20:00,18:09,18:24,0:05,18:29,19:04,19:04,19:17,1:08,0:05
3,3,20:00,22:00,20:22,20:39,0:05,20:44,21:17,21:17,21:30,1:08,0:05
3,4,22:00,0:00,22:23,22:39,0:06,22:45,23:18,23:18,23:30,1:07,0:06
4,1,16:00,18:00,17:08,17:23,0:03,17:26,18:02,18:02,18:14,1:06,0:03
4,2,18:00,20:00,19:00,19:16,0:04,19:20,19:54,19:54,20:07,1:07,0:04
4,3,20:00,22:00,20:15,20:31,0:02,20:33,21:06,21:06,21:18,1:03,0:02
4,4,22:00,0:00,22:20,22:35,0:04,22:39,23:13,23:13,23:25,1:05,0:04
5,1,16:00,18:00,16:10,16:25,0:05,16:30,17:03,17:03,17:15,1:05,0:05
5,2,18:00,20:00,19:45,20:00,0:04,20:04,20:40,20:40,20:53,1:08,0:04
5,3,20:00,22:00,20:15,20:30,0:04,20:34,21:08,21:08,21:20,1:05,0:04
5,4,22:00,0:00,23:00,23:14,0:03,23:17,23:48,23:48,0:00,1:00,0:03
6,1,16:00,18:00,16:32,16:47,0:03,16:50,17:23,17:23,17:35,1:03,0:03
6,2,18:00,20:00,19:34,19:50,0:04,19:54,20:28,20:28,20:41,1:07,0:04
6,3,20:00,22:00,21:08,21:24,0:05,21:29,22:03,22:03,22:15,1:07,0:05
6,4,22:00,0:00,22:10,22:26,0:03,22:29,23:04,23:04,23:16,1:06,0:03
7,1,16:00,18:00,16:15,16:30,0:05,16:35,17:09,17:09,17:21,1:06,0:05
7,2,18:00,20:00,18:34,18:50,0:06,18:56,19:30,19:30,19:42,1:08,0:06
7,3,20:00,22:00,20:07,20:23,0:04,20:27,21:00,21:00,21:12,1:05,0:04
7,4,22:00,0:00,22:08,22:24,0:06,22:30,23:00,23:00,23:13,1:05,0:06
1,1,16:00,18:00,16:20,16:36,0:04,16:40,17:13,17:13,17:25,1:05,0:04
1,2,18:00,20:00,19:22,19:38,0:04,19:42,20:15,20:15,20:28,1:06,0:04
1,3,20:00,22:00,21:00,21:15,0:03,21:18,21:51,21:51,22:03,1:03,0:03
1,4,22:00,0:00,22:30,22:46,0:04,22:50,23:23,23:23,23:33,1:03,0:04
2,1,16:00,18:00,17:09,17:24,0:05,17:29,18:03,18:03,18:15,1:06,0:05
2,2,18:00,20:00,19:11,19:27,0:05,19:32,20:05,20:05,20:18,1:07,0:05
2,3,20:00,22:00,20:19,20:34,0:04,20:38,21:13,21:13,21:25,1:06,0:04
2,4,22:00,0:00,22:04,22:20,0:05,22:25,22:58,22:58,23:10,1:06,0:05
3,1,16:00,18:00,17:03,17:19,0:03,17:22,17:56,17:56,18:08,1:05,0:03
3,2,18:00,20:00,18:20,18:35,0:05,18:40,19:13,19:13,19:26,1:06,0:05
3,3,20:00,22:00,21:30,21:46,0:04,21:50,22:23,22:23,22:35,1:05,0:04
3,4,22:00,0:00,22:19,22:34,0:06,22:40,23:14,23:14,23:26,1:07,0:06
4,1,16:00,18:00,16:00,16:16,0:04,16:20,16:53,16:53,17:05,1:05,0:04
4,2,18:00,20:00,19:20,19:36,0:05,19:41,20:14,20:14,20:27,1:07,0:05
4,3,20:00,22:00,21:05,21:19,0:05,21:24,21:58,21:58,22:10,1:05,0:05
4,4,22:00,0:00,22:40,22:56,0:05,23:01,23:34,23:34,23:45,1:05,0:05
5,1,16:00,18:00,17:08,17:23,0:03,17:26,18:02,18:02,18:14,1:06,0:03
5,2,18:00,20:00,19:00,19:16,0:04,19:20,19:54,19:54,20:07,1:07,0:04
5,3,20:00,22:00,20:15,20:31,0:02,20:33,21:06,21:06,21:18,1:03,0:02
5,4,22:00,0:00,22:20,22:35,0:04,22:39,23:13,23:13,23:25,1:05,0:04
6,1,16:00,18:00,16:10,16:25,0:05,16:30,17:03,17:03,17:15,1:05,0:05
6,2,18:00,20:00,19:45,20:00,0:04,20:04,20:40,20:40,20:53,1:08,0:04
6,3,20:00,22:00,20:15,20:30,0:04,20:34,21:08,21:08,21:20,1:05,0:04
6,4,22:00,0:00,23:00,23:14,0:03,23:17,23:48,23:48,0:00,1:00,0:03
7,1,16:00,18:00,16:32,16:47,0:05,16:52,17:23,17:23,17:35,1:03,0:05
7,2,18:00,20:00,19:34,19:50,0:05,19:55,20:28,20:28,20:41,1:07,0:05
7,3,20:00,22:00,21:08,21:24,0:05,21:29,22:03,22:03,22:15,1:07,0:05
7,4,22:00,0:00,22:10,22:26,0:04,22:30,23:04,23:04,23:16,1:06,0:04
1,1,16:00,18:00,16:15,16:30,0:04,16:34,17:09,17:09,17:21,1:06,0:04
1,2,18:00,20:00,18:34,18:50,0:05,18:55,19:30,19:30,19:42,1:08,0:05
1,3,20:00,22:00,20:07,20:23,0:02,20:25,21:00,21:00,21:12,1:05,0:02
1,4,22:00,0:00,22:08,22:24,0:06,22:30,23:00,23:00,23:13,1:05,0:06
