Day,Time Slots,Start,Stop,tstart1,tstop1,Ttime
2,1,16:00,18:00,16:40,17:17,0:37
2,2,18:00,20:00,18:35,19:20,0:45
2,3,20:00,22:00,20:13,20:52,0:39
2,4,22:00,0:00,22:10,22:48,0:38
3,1,16:00,18:00,16:15,16:50,0:35
3,2,18:00,20:00,18:23,19:10,0:47
3,3,20:00,22:00,20:40,21:20,0:40
3,4,22:00,0:00,22:37,23:15,0:38
4,1,16:00,18:00,17:20,17:58,0:38
4,2,18:00,20:00,19:25,20:13,0:48
4,3,20:00,22:00,20:33,21:15,0:42
4,4,22:00,0:00,22:08,22:49,0:41
5,1,16:00,18:00,16:30,17:08,0:38
5,2,18:00,20:00,20:00,20:48,0:48
5,3,20:00,22:00,20:34,21:15,0:41
5,4,22:00,0:00,23:05,23:45,0:40
6,1,16:00,18:00,16:50,17:29,0:39
6,2,18:00,20:00,19:50,20:40,0:50
6,3,20:00,22:00,21:25,22:08,0:43
6,4,22:00,0:00,22:19,23:00,0:41
7,1,16:00,18:00,16:35,17:08,0:33
7,2,18:00,20:00,19:30,20:10,0:40
7,3,20:00,22:00,21:20,21:58,0:38
7,4,22:00,0:00,23:08,23:44,0:36
1,1,16:00,18:00,17:20,17:58,0:38
1,2,18:00,20:00,18:35,19:23,0:48
1,3,20:00,22:00,21:25,22:08,0:43
1,4,22:00,0:00,23:05,23:45,0:40
2,1,16:00,18:00,17:20,17:58,0:38
2,2,18:00,20:00,19:50,20:40,0:50
2,3,20:00,22:00,18:35,19:23,0:48
2,4,22:00,0:00,22:08,22:49,0:41
3,1,16:00,18:00,16:15,16:50,0:35
3,2,18:00,20:00,19:25,20:13,0:48
3,3,20:00,22:00,20:34,21:15,0:41
3,4,22:00,0:00,22:19,23:00,0:41
4,1,16:00,18:00,16:50,17:29,0:39
4,2,18:00,20:00,20:00,20:48,0:48
4,3,20:00,22:00,20:33,21:15,0:42
4,4,22:00,0:00,22:37,23:15,0:38
5,1,16:00,18:00,16:15,16:50,0:35
5,2,18:00,20:00,20:00,20:48,0:48
5,3,20:00,22:00,21:25,22:08,0:43
5,4,22:00,0:00,22:08,22:49,0:41
6,1,16:00,18:00,16:30,17:08,0:38
6,2,18:00,20:00,18:35,19:23,0:48
6,3,20:00,22:00,20:40,21:20,0:40
6,4,22:00,0:00,22:08,22:49,0:41
7,1,16:00,18:00,16:30,17:04,0:34
7,2,18:00,20:00,19:25,20:07,0:42
7,3,20:00,22:00,21:20,21:58,0:38
7,4,22:00,0:00,23:08,23:44,0:36
1,1,16:00,18:00,16:15,16:49,0:34
1,2,18:00,20:00,18:23,19:08,0:45
1,3,20:00,22:00,20:40,21:20,0:40
1,4,22:00,0:00,22:37,23:15,0:38
